Time,Voltage,Current,SOH
0,4.191491808,-0.004901589,0.928243711
9.312,4.197329778,-0.007283407,0.753281948
9.313,4.195180369,0.00139479,0.643726261
9.328,4.200184918,-0.001065967,0.88133418
9.329,4.196270373,-0.002946954,0.727073104
9.343,4.196113848,-0.002387544,0.703799187
9.344,4.195183788,-0.000888727,0.677161024
9.359,4.198603167,0.001499772,0.886516858
9.36,4.198649934,0.001152123,0.894221617
9.375,4.199190572,-0.002388918,0.915351923
9.39,4.20047987,0.000847544,0.925901276
9.391,4.198195819,-0.002840843,0.868045676
9.406,4.198629485,-0.001242345,0.904653982
9.407,4.200322573,-0.003394787,0.797763195
9.421,4.196906171,-0.001951381,0.742934193
9.422,4.19908756,-0.001343907,0.909952055
9.437,4.198838833,-0.000144318,0.842451455
9.438,4.198170166,-0.00022629,0.821326891
9.453,4.198317464,0.001214507,0.816367521
9.469,4.196074302,-0.000786453,0.711460159
9.484,4.19040942,-0.000118418,0.896812008
9.5,4.199563724,-0.00065606,0.693055758
9.515,4.195816673,-0.000529762,0.672094597
16.641,4.186844158,-0.001013328,0.906984695
16.672,4.18888138,-0.000879471,0.923163625
16.687,4.188132446,-0.000919604,0.906720246
16.688,4.188318089,0.001319946,0.901299002
16.703,4.186623889,0.003438889,0.912556822
16.718,4.186824563,-0.000702359,0.923512998
16.719,4.187384731,0.001701455,0.917322754
16.734,4.187448222,0.005401028,0.912386927
16.735,4.187252396,0.001431709,0.923708656
16.75,4.188023389,-0.001255806,0.912878396
16.766,4.18775221,0.000233713,0.917631264
16.781,4.190749068,-0.001478006,0.928243711
16.797,4.187198338,-0.001791648,0.917674597
16.844,4.188360662,0.000730938,0.90105345
19.468,3.998105282,-2.012528779,0.792894499
19.469,4.008290632,-2.012830332,0.894221617
19.484,4.006633222,-2.013290769,0.886516858
19.485,4.008154659,-2.012900721,0.891461524
19.5,4.005042729,-2.012692251,0.868045676
19.515,4.008852679,-2.011147285,0.881157535
19.516,3.994787428,-2.012528402,0.779882974
19.531,4.007716461,-2.011134894,0.868211253
